x,y,z,magnitude,time
-0.848,-0.145,-0.332,0.922,41.53
-0.34,0.068,-0.084,0.357,41.6
-0.244,0.133,-0.219,0.354,41.67
-1.236,0.072,0.043,1.239,41.74
-1.48,-0.143,-0.283,1.514,41.82
-0.674,0.145,0.082,0.694,41.89
0.084,-0.09,-0.258,0.286,41.96
-0.918,0.033,0.094,0.923,42.03
-2.383,0.125,0.287,2.403,42.1
-2.146,0.074,-0.121,2.151,42.17
-1.141,-0.098,0.193,1.161,42.24
0.451,0.051,-0.244,0.515,42.31
0.619,0.127,-0.199,0.663,42.38
-0.734,0.141,0.197,0.773,42.46
-1.125,0.043,-0.268,1.157,42.53
-2.77,-0.037,0.002,2.77,42.6
-1.131,0.133,-0.389,1.203,42.67
-0.543,0.059,0.021,0.547,42.74
-0.379,-0.187,0.041,0.425,42.81
-0.172,0.117,-0.178,0.274,42.88
-3.916,0.391,0.139,3.938,42.96
-2.805,0.037,0.848,2.93,43.03
-1.689,0.059,0.244,1.708,43.1
-0.828,0.021,-0.355,0.901,43.17
0.246,0.129,0.18,0.331,43.24
0.969,-0.068,-0.582,1.132,43.31
-0.375,-0.082,0.168,0.419,43.38
-1.439,0.139,-0.793,1.649,43.45
-2.029,-0.135,-0.256,2.05,43.53
-1.035,0.238,0.154,1.073,43.6
-0.221,-0.102,-0.094,0.26,43.67
-0.105,0,-0.082,0.134,43.74
-2.498,0.289,0.016,2.515,43.81
-1.264,0.139,0.016,1.271,43.88
-0.797,0.027,0.357,0.874,43.95
-0.225,0.121,-0.582,0.636,44.03
-1.17,-0.162,0.045,1.182,44.1
-1.848,0.32,0.027,1.875,44.17
-2.875,-0.414,-0.066,2.905,44.24
-1.4,0.201,-0.24,1.435,44.31
-0.225,0.43,0.291,0.565,44.38
1.686,-0.109,-0.621,1.8,44.46
-0.428,-0.051,0.111,0.445,44.53
-0.711,-0.102,0.143,0.732,44.6
-1.498,-0.076,-0.533,1.592,44.67
-2.34,0.154,0.098,2.347,44.74
-1.096,0.254,0.125,1.132,44.81
-0.256,-0.207,-0.205,0.388,44.89
-0.26,0.07,-0.068,0.278,44.96
-1.035,0.158,-0.096,1.052,45.03
-1.67,-0.205,-0.184,1.692,45.1
-1.535,0.105,0.393,1.588,45.17
-0.512,0.025,-0.477,0.7,45.25
-0.484,-0.117,0.176,0.528,45.32
-2.939,0.393,0.09,2.967,45.39
-1.367,0.117,-0.359,1.418,45.46
